popwght,state,nielsen,region,division,ownhome,mstatus,emply,age,age2,educ,income,d3_a,sex,sumo8
0.4615,MS,B,South,East South Central,Rented,Married,Retired,70, ,High school graduate,Refused,Don't know,Female,Pepperoni
1.408,TN,D,South,East South Central,Owned,Married,Retired,64, ,High school graduate,"$50,000 but less than $75,000",Somewhat liberal,Female,Pepperoni
1.4323,IL,A,North Central,East North Central,Rented,"Single, living with a partner",Full-time,32, ,Less than high school graduate,"$15,000 but less than $25,000",Somewhat conservative,Female,Pepperoni
0.6724,CA,A,West,Pacific,Rented,Married,Retired,70, ,Less than high school graduate,"$30,000 but less than $40,000",Very conservative,Female,Mushrooms
2.1953,AR,B,South,West South Central,Rented,"Single, that is never married",Part-time,34, ,Less than high school graduate,"$30,000 but less than $40,000",Moderate,Female,Pepperoni
0.438,TX,B,South,West South Central,Owned,Divorced,Full-time,54, ,Graduated college,"$50,000 but less than $75,000",Somewhat conservative,Female,Pepperoni
0.5235,ID,D,West,Mountain,Owned,Widowed,Retired,68, ,Some college,"$30,000 but less than $40,000",Somewhat conservative,Female,Mushrooms
2.4867,UT,C,West,Mountain,Owned,Married,Full-time,41, ,High school graduate,"$50,000 but less than $75,000",Somewhat conservative,Female,Mushrooms
0.9819,CA,A,West,Pacific,Rented,"Single, that is never married",Full-time,62, ,Some college,"$50,000 but less than $75,000",Moderate,Male,Sausage
1.6355,CA,B,West,Pacific,Rented,"Single, living with a partner",Homemaker,33, ,Less than high school graduate,"$15,000 but less than $25,000",Somewhat liberal,Female,Pepperoni
1.9099,OR,B,West,Pacific,Owned,Married,Full-time,40, ,Some college,"$40,000 but less than $50,000",Moderate,Male,Pepperoni
1.2544,CA,B,West,Pacific,Owned,Married,Homemaker,50, ,Some college,"$50,000 but less than $75,000",Very liberal,Female,Sausage
1.0819,CA,A,West,Pacific,Rented,Separated,Part-time,36, ,Some college,"$25,000 but less than $30,000",Moderate,Female,Mushrooms
0.5439,CA,D,West,Pacific,Owned,"Single, living with a partner",Retired,57, ,Some college,"$50,000 but less than $75,000",Very conservative,Male,Sausage
0.8222,CA,B,West,Pacific,Owned,Married,Retired,72, ,Some college,"$50,000 but less than $100,000 (Unspecified)",Don't know,Female,Onions
1.9781,CA,A,West,Pacific,Owned,Married,Full-time,30, ,Graduated college,"$200,000 to under $250,000",Moderate,Female,Pepperoni
0.2977,CA,B,West,Pacific,Rented,Divorced,Retired,67, ,Some college,"Less than $15,000",Somewhat liberal,Female,Mushrooms
0.5947,UT,B,West,Mountain,Owned,Married,Temporarily unemployed,64, ,Some college,"$40,000 but less than $50,000",Somewhat liberal,Female,Pepperoni
0.3901,PA,B,North East,Mid Atlantic,Owned,Widowed,Retired,90, ,Some college,"$25,000 but less than $30,000",Moderate,Male,Don't eat pizza
0.5704,MI,C,North Central,East North Central,Owned,Married,Retired,71, ,Graduated college,Refused,Very conservative,Female,Mushrooms
0.25,MI,B,North Central,East North Central,Rented,Widowed,Part-time,85, ,Some college,"$15,000 but less than $25,000",Very conservative,Female,Mushrooms
1.2654,PA,A,North East,Mid Atlantic,Owned,Married,Full-time,54, ,Graduate school or more,"$50,000 but less than $75,000",Moderate,Male,Mushrooms
0.9606,PA,A,North East,Mid Atlantic,Owned,Married,Retired,61, ,Graduated college,"$50,000 but less than $100,000 (Unspecified)",Somewhat conservative,Female,Mushrooms
1.885,AZ,A,West,Mountain,Rented,Married,Full-time,36, ,High school graduate,"$25,000 but less than $30,000",Moderate,Male,Pepperoni
1.6032,NY,A,North East,Mid Atlantic,Owned,Married,Homemaker,35, ,Graduate school or more,"$150,000 to under $200,000",Moderate,Female,Pepperoni
0.25,KY,D,South,East South Central,Rented,Divorced,Retired,66, ,Graduated college,"Less than $15,000",Somewhat conservative,Male,Don't eat pizza
0.5904,CT,B,North East,New England,Owned,Divorced,Disabled/Handicapped,54, ,Less than high school graduate,"$40,000 but less than $50,000",Very conservative,Male,Don't eat pizza
0.5661,NY,A,North East,Mid Atlantic,Rented,"Single, that is never married",Part-time,20, ,Some college,"$30,000 but less than $40,000",Very liberal,Male,Sausage
0.2888,OH,D,North Central,East North Central,Owned,Divorced,Retired,67, ,Less than high school graduate,"$15,000 but less than $25,000",Somewhat conservative,Male,Pepperoni
0.9138,PA,A,North East,Mid Atlantic,Owned,Married,Full-time,36, ,Graduated college,"$100,000 to under $150,000",Very liberal,Male,Sausage
0.5552,NC,C,South,South Atlantic,Don't know,Separated,Full-time,44, ,Graduate school or more,"$50,000 but less than $75,000",Moderate,Female,Mushrooms
0.744,OH,B,North Central,East North Central,Owned,Divorced,Full-time,34, ,High school graduate,"$25,000 but less than $30,000",Moderate,Female,Sausage
0.7948,FL,B,South,South Atlantic,Owned,Married,Part-time,60, ,Some college,"$50,000 but less than $75,000",Don't know,Female,Onions
0.3774,OH,A,North Central,East North Central,Rented,Refused,Disabled/Handicapped,59, ,High school graduate,"$30,000 but less than $40,000",Somewhat liberal,Male,Sausage
0.9437,NC,C,South,South Atlantic,Owned,Married,Full-time,45, ,Graduated college,"$150,000 to under $200,000",Somewhat conservative,Female,Pepperoni
0.6949,VA,C,South,South Atlantic,Owned,Married,Full-time,50, ,Some college,"$150,000 to under $200,000",Somewhat conservative,Female,Pepperoni
1.1901,WV,D,South,South Atlantic,Owned,"Single, that is never married",Temporarily unemployed,36, ,Some college,"Less than $15,000",Don't know,Female,Pepperoni
0.3224,MI,A,North Central,East North Central,Rented,Widowed,Retired,81, ,High school graduate,"$25,000 but less than $30,000",Somewhat liberal,Female,Mushrooms
0.2673,NJ,A,North East,Mid Atlantic,Rented,"Single, that is never married",Retired,75, ,Graduate school or more,"Less than $15,000",Somewhat liberal,Male,Pepperoni
0.8197,PA,C,North East,Mid Atlantic,Rented,Married,Full-time,26, ,Some college,"$50,000 but less than $75,000",Somewhat liberal,Female,Pepperoni
0.4378,FL,B,South,South Atlantic,Owned,Married,Retired,73, ,Graduated college,Refused,Refused,Male,Sausage
0.6484,PA,A,North East,Mid Atlantic,Owned,Married,Disabled/Handicapped,48, ,Some college,"$30,000 but less than $40,000",Moderate,Female,Pepperoni
0.8985,IN,D,North Central,East North Central,Owned,Married,Part-time,57, ,Some college,"$50,000 but less than $75,000",Somewhat conservative,Male,Sausage
0.6297,NY,A,North East,Mid Atlantic,Owned,Married,Retired,73, ,Graduated college,"$75,000 but less than $100,000",Somewhat conservative,Female,Pepperoni
0.4503,FL,A,South,South Atlantic,Owned,Married,Full-time,20, ,Graduated college,"$150,000 to under $200,000",Somewhat conservative,Male,Pepperoni
0.516,NC,C,South,South Atlantic,Owned,Married,Retired,83, ,Some college,"$50,000 but less than $75,000",Somewhat conservative,Male,Sausage
0.9204,NC,B,South,South Atlantic,Rented,"Single, that is never married",Part-time,21, ,Less than high school graduate,"$15,000 but less than $25,000",Don't know,Male,Pepperoni
0.8832,GA,A,South,South Atlantic,Owned,Married,Full-time,38, ,Graduate school or more,Refused,Moderate,Male,Sausage
0.5383,KY,B,South,East South Central,Owned,Married,Full-time,Refused,65+,High school graduate,"$40,000 but less than $50,000",Moderate,Female,Sausage
3.7828,KY,D,South,East South Central,Owned,Married,Other not employed,20, ,Less than high school graduate,"Less than $15,000",Somewhat liberal,Female,Pepperoni
0.5188,FL,A,South,South Atlantic,Rented,Widowed,Retired,88, ,Some college,Refused,Moderate,Female,Mushrooms
0.25,NY,B,North East,Mid Atlantic,Rented,"Single, that is never married",Retired,66, ,High school graduate,"$15,000 but less than $25,000",Very liberal,Female,Pepperoni
1.0628,NY,C,North East,Mid Atlantic,Owned,Married,Full-time,52, ,Graduate school or more,Refused,Moderate,Female,Onions
0.8462,NC,D,South,South Atlantic,Refused,Married,Retired,36, ,High school graduate,"$100,000 and over (Unspecified)",Very conservative,Male,Pepperoni
0.8377,SC,B,South,South Atlantic,Owned,Married,Retired,66, ,High school graduate,"$25,000 but less than $30,000",Moderate,Female,Pepperoni
0.467,PA,B,North East,Mid Atlantic,Rented,Divorced,Disabled/Handicapped,45, ,High school graduate,"$15,000 but less than $25,000",Somewhat conservative,Male,Pepperoni
0.8551,SC,B,South,South Atlantic,Owned,"Single, that is never married",Full-time,38, ,Graduate school or more,"$50,000 but less than $75,000",Moderate,Female,Sausage
0.6437,IL,D,North Central,East North Central,Owned,Married,Retired,77, ,Graduate school or more,Refused,Moderate,Female,Sausage
1.2321,NY,A,North East,Mid Atlantic,Rented,Married,Full-time,48, ,High school graduate,"$15,000 but less than $25,000",Moderate,Female,Onions
1.1122,FL,C,South,South Atlantic,Rented,Married,Homemaker,59, ,Some college,"$50,000 but less than $75,000",Somewhat conservative,Female,Mushrooms
0.2561,SC,D,South,South Atlantic,Rented,Widowed,Retired,86, ,Refused,"Less than $15,000",Don't know,Male,Pepperoni
1.18,VA,A,South,South Atlantic,Owned,Married,Full-time,47, ,Graduated college,"$150,000 to under $200,000",Somewhat liberal,Male,Pepperoni
0.7386,MD,A,South,South Atlantic,Owned,Married,Retired,69, ,High school graduate,"$75,000 but less than $100,000",Moderate,Female,Don't know/no answer
0.5837,OH,C,North Central,East North Central,Owned,Divorced,Homemaker,48, ,Less than high school graduate,"Less than $15,000",Don't know,Female,Mushrooms
0.3153,CA,B,West,Pacific,Owned,Widowed,Retired,63, ,High school graduate,"Less than $15,000",Very conservative,Female,Pepperoni
0.25,CT,B,North East,New England,Owned,Widowed,Retired,93, ,Some college,"$30,000 but less than $40,000",Moderate,Female,Mushrooms
0.6341,MA,A,North East,New England,Owned,"Single, living with a partner",Full-time,29, ,Graduate school or more,"$75,000 but less than $100,000",Moderate,Male,Don't know/no answer
0.7386,TN,D,South,East South Central,Owned,Married,Retired,69, ,High school graduate,"$40,000 but less than $50,000",Very conservative,Female,Pepperoni
0.822,TN,C,South,East South Central,Rented,Married,Disabled/Handicapped,54, ,Less than high school graduate,Refused,Somewhat liberal,Male,Sausage
0.25,CT,A,North East,New England,Owned,"Single, that is never married",Retired,80, ,Graduated college,"$50,000 but less than $75,000",Moderate,Female,Mushrooms
1.3813,OK,D,South,West South Central,Owned,Married,Disabled/Handicapped,48, ,High school graduate,"$25,000 but less than $30,000",Very conservative,Male,Mushrooms
0.3496,TX,A,South,West South Central,Owned,Widowed,Retired,87, ,High school graduate,"$15,000 but less than $25,000",Somewhat liberal,Female,Pepperoni
